msisdn,tower_id,up_bytes,down_bytes,data_type,ip_address,website_url,event_datetime
6372190797866,1756,330861,148347,image,180.164.220.64,https://www.bailey-hernandez.com/,2024-01-01 01:13:07.062897
6544744491749,691,263772,911901,video,106.233.253.117,http://crawford.com/,2024-01-01 01:14:31.600993
1733412057489,1928,143109,983018,application,136.25.76.146,http://robinson.com/,2024-01-01 01:09:33.699085
2714429747711,672,448289,934752,image,220.42.194.97,https://rose.org/,2024-01-01 01:11:54.015464
0572870555403,886,435689,205921,audio,143.133.62.180,http://crawford.biz/,2024-01-01 01:19:06.299011
3002629731417,1239,547900,417663,audio,205.214.197.6,https://www.larson-adams.com/,2024-01-01 01:21:04.076233
2431315755429,902,472263,502539,video,151.16.121.69,https://turner.com/,2024-01-01 01:15:34.047473
7761822209394,568,346515,318973,application,98.169.204.5,https://bowers-carrillo.org/,2024-01-01 01:20:13.185113
2826118331885,1455,857066,376145,video,221.149.187.54,https://wilson.com/,2024-01-01 01:07:26.435775
1258798241358,1837,173831,373433,text,181.100.118.9,http://www.boone.com/,2024-01-01 01:10:40.009970
8459833353240,175,520086,688260,text,70.212.64.189,https://schultz.com/,2024-01-01 01:08:36.246519
3446639828883,1666,861937,700880,video,7.11.182.49,https://www.jackson.com/,2024-01-01 01:15:14.208754
2097751462565,374,971171,477631,audio,175.242.134.44,https://stein-christensen.com/,2024-01-01 01:18:55.855458
3183109087974,977,814535,376035,audio,220.5.89.114,http://www.harris-bush.net/,2024-01-01 01:17:06.606444
8433088175513,930,291254,198622,video,223.185.64.57,https://jenkins.biz/,2024-01-01 01:17:22.649801
9555127438949,1849,840566,168760,audio,129.0.202.170,http://www.morrow.com/,2024-01-01 01:20:54.447955
8974643732698,1438,958881,118268,video,54.237.230.108,https://thomas.com/,2024-01-01 01:19:11.394711
9611985228543,1663,904276,711529,video,48.175.162.64,https://www.roth-chavez.net/,2024-01-01 01:10:34.244404
5176161009051,1388,197456,834422,application,81.218.228.12,http://www.maxwell-simpson.info/,2024-01-01 01:22:33.738222
3915161669364,1164,566760,112281,application,182.236.112.173,https://www.potter.com/,2024-01-01 01:19:07.086916
2701966292370,1167,820043,670656,image,113.211.168.120,http://www.ball.com/,2024-01-01 01:18:14.404141
9853094010626,153,721771,432223,video,204.129.140.90,http://simmons-wilkins.org/,2024-01-01 01:22:48.824476
6579226382016,73,752555,820569,image,212.56.201.222,http://freeman.com/,2024-01-01 01:19:37.878683
4382445144672,191,914467,972019,audio,129.26.31.36,https://parsons.com/,2024-01-01 01:13:49.081763
9431608905753,1576,378620,731824,application,63.24.55.25,http://www.lamb.com/,2024-01-01 01:12:04.059646
0945504797599,644,650934,831488,video,214.130.53.121,http://www.armstrong.info/,2024-01-01 01:07:39.143899
9510562772775,1924,355662,835734,audio,170.3.93.177,http://www.aguilar-clark.com/,2024-01-01 01:20:41.717365
2152319831344,1221,839527,518115,text,216.144.131.205,https://church.org/,2024-01-01 01:07:24.473072
8323908317116,668,382570,413120,application,142.100.24.121,http://warren.biz/,2024-01-01 01:16:05.704235
5759350127954,989,557232,511895,text,91.249.31.11,http://www.dyer.com/,2024-01-01 01:09:42.665267
0640992939570,798,116468,462972,text,223.241.43.56,https://vazquez-alexander.com/,2024-01-01 01:19:00.850184
1754103287553,376,973318,407637,text,8.32.30.28,https://www.gibson-anthony.com/,2024-01-01 01:15:31.844232
3383793939551,777,441696,297126,video,194.19.170.172,http://www.davis-jones.com/,2024-01-01 01:08:52.115042
3396722674247,1182,307714,311575,audio,177.129.135.132,https://www.gomez-castillo.com/,2024-01-01 01:12:30.155891
1608783960510,1491,574791,475234,application,29.66.100.216,https://manning.org/,2024-01-01 01:17:35.336296
4591624616596,595,222813,410215,text,216.27.251.21,http://www.skinner-hudson.biz/,2024-01-01 01:18:58.856834
3549560338156,942,237174,211637,image,209.98.30.189,http://www.hill-powell.com/,2024-01-01 01:07:41.720918
7021725867551,1201,270544,341071,image,53.224.228.53,http://www.fuller-smith.com/,2024-01-01 01:12:33.593808
2112961929828,1825,514653,817424,audio,155.42.170.64,https://armstrong.com/,2024-01-01 01:15:08.206419
