msisdn,tower_id,call_type,dest_nr,call_duration_sec,start_time
4622715284564,339,voice,4763710244604,1485,2024-01-01 07:38:07.571931
2918420581425,1583,voice,7208376132218,452,2024-01-01 07:48:40.175492
2320806744726,72,video,7716018123540,1366,2024-01-01 07:44:00.321820
4226158653760,101,video,9083198030545,825,2024-01-01 07:43:51.375036
5799599949177,1810,voice,5815420581881,1287,2024-01-01 07:43:04.652062
6863807122725,1214,voice,6599593235255,1788,2024-01-01 07:36:55.859112
4255550210085,1372,video,2452759405565,385,2024-01-01 07:33:46.781349
7601101995401,966,voice,2420864327614,1774,2024-01-01 07:44:07.199890
2618957252333,1957,video,7922962209687,3,2024-01-01 07:42:50.519337
0065172060626,1716,video,2125159963911,1349,2024-01-01 07:35:55.952172
2841817275197,534,video,6117428918002,1339,2024-01-01 07:44:23.194849
0362076126821,962,video,2237281953407,422,2024-01-01 07:42:38.101498
4824265369927,833,voice,7387823011276,515,2024-01-01 07:45:00.395294
7219350421764,1239,video,3295427450090,647,2024-01-01 07:47:11.248714
7593686582133,1235,video,8147358285278,884,2024-01-01 07:46:37.317294
9856380877583,310,voice,2020078647220,1357,2024-01-01 07:47:41.421182
1261516330211,759,video,7006987222733,1246,2024-01-01 07:36:07.721375
4925714706338,458,voice,3464164006948,774,2024-01-01 07:41:15.717698
3779490765240,710,voice,4641865891749,408,2024-01-01 07:46:15.730446
5161042816879,1180,video,4428004155141,671,2024-01-01 07:47:55.030772
6083346617541,573,voice,0972250417791,1251,2024-01-01 07:43:47.273514
1242056405661,1546,video,6679884124696,1637,2024-01-01 07:36:17.423742
4845841557751,1468,video,1006140883896,1169,2024-01-01 07:38:26.244854
5142798731126,816,video,3294264322643,1326,2024-01-01 07:36:33.108791
8786029207358,1641,voice,6879745502315,1101,2024-01-01 07:44:22.304863
2008040639886,534,voice,9466628719170,406,2024-01-01 07:46:57.627343
5571039212972,1809,video,8725797894445,1669,2024-01-01 07:35:53.000276
0932407882662,1064,voice,1158256801145,981,2024-01-01 07:38:13.338307
3135277212381,1949,video,1994864053387,62,2024-01-01 07:36:51.718001
5381476003157,1415,voice,6515997698938,617,2024-01-01 07:46:06.149603
2515368354632,1959,video,2642463627516,1614,2024-01-01 07:42:42.912709
3302080189853,1430,voice,7394553707946,1720,2024-01-01 07:39:18.651718
