msisdn,tower_id,up_bytes,down_bytes,data_type,ip_address,website_url,event_datetime
5601365937975,53,728068,974361,application,119.154.53.188,https://www.johnson.org/,2024-01-01 01:53:51.388644
4379089434692,1005,361562,773247,application,135.172.12.54,https://www.estrada-larson.com/,2024-01-01 01:51:59.752487
2282265569514,1964,424815,526147,application,98.175.167.101,http://barton-miller.org/,2024-01-01 01:40:50.871365
7757819468408,859,819531,849954,text,92.2.46.16,https://harris.com/,2024-01-01 01:55:57.987516
1787372347484,1932,576943,465745,image,160.167.132.88,http://www.crawford.biz/,2024-01-01 01:56:06.222347
6818435581925,1375,803080,619470,image,157.118.255.149,https://johnson.com/,2024-01-01 01:50:42.315378
8968176303989,380,446710,702562,video,212.4.246.9,http://shah-washington.org/,2024-01-01 01:42:25.600230
1757388917227,617,451519,684444,video,146.175.178.183,https://www.brown.org/,2024-01-01 01:48:43.697545
7977478587795,133,839585,425273,image,159.213.12.65,https://www.rivera.net/,2024-01-01 01:41:40.366063
6529780821485,1149,602133,448769,audio,12.160.189.120,https://jennings.com/,2024-01-01 01:44:43.107886
2198693394508,1729,116981,472796,video,160.16.130.48,https://www.williams-meyer.net/,2024-01-01 01:45:48.238816
0479649773179,1945,525487,996602,video,223.25.17.47,https://www.lee.biz/,2024-01-01 01:45:07.363841
7170989825509,1162,713484,131728,video,167.101.217.111,https://www.miller.net/,2024-01-01 01:48:27.253016
1097412145883,1569,933661,542459,text,215.229.79.158,http://www.avila-sullivan.biz/,2024-01-01 01:55:48.280853
6828432638087,1384,101842,378714,image,125.24.193.121,https://www.lewis.com/,2024-01-01 01:49:14.610638
3060173284383,16,949757,139361,text,108.198.108.13,https://murphy.com/,2024-01-01 01:49:46.911849
2191635483448,1347,891996,857541,image,171.211.189.31,https://www.wu.org/,2024-01-01 01:44:55.365223
0585205750448,1096,160557,940730,audio,203.163.89.130,http://www.williams-avila.biz/,2024-01-01 01:52:50.537430
6706789840473,1777,870096,443655,image,25.213.84.148,https://hopkins-cunningham.org/,2024-01-01 01:45:16.248535
9256158780107,813,433136,929449,audio,55.246.254.0,http://butler.com/,2024-01-01 01:44:59.909438
0962868745925,1798,720479,655216,application,141.1.194.145,https://www.smith.biz/,2024-01-01 01:50:21.617545
4970871060899,1359,703272,312570,image,220.41.75.147,https://www.tanner-camacho.com/,2024-01-01 01:48:35.386350
7170479869399,1608,355532,209782,text,136.150.27.184,http://www.garcia.com/,2024-01-01 01:47:15.919483
8607922563123,650,198715,322754,audio,14.144.25.33,http://www.solis.org/,2024-01-01 01:52:34.445748
5930992561655,1179,938857,129838,audio,191.26.197.57,http://www.dalton-cooper.com/,2024-01-01 01:45:35.233661
4286936641143,1797,135261,744369,application,212.152.22.146,http://www.simpson.com/,2024-01-01 01:46:08.001271
4596880849490,374,658779,170544,text,221.228.11.65,http://hernandez-berry.com/,2024-01-01 01:50:10.634160
8861111746291,1766,987270,140290,application,5.233.215.51,http://santos.com/,2024-01-01 01:49:47.587547
7582334999853,1149,953847,199961,image,223.30.201.136,http://www.howell-williams.com/,2024-01-01 01:53:14.639132
7297351110144,1521,823234,214466,audio,141.136.4.202,https://www.johnston.com/,2024-01-01 01:55:47.621281
3448795252272,574,545728,796849,audio,149.103.170.132,https://richardson.info/,2024-01-01 01:54:05.017049
1628111378903,1808,453097,717507,image,209.80.176.164,https://schmitt-anderson.net/,2024-01-01 01:44:49.652625
2800746064501,1406,466231,411762,image,183.145.120.158,http://www.burch-morton.com/,2024-01-01 01:51:59.223482
0253191600649,1846,450286,588522,audio,2.221.6.14,http://rojas.com/,2024-01-01 01:50:36.627354
3619616172980,49,381692,714907,video,217.50.38.227,http://www.perez.info/,2024-01-01 01:44:11.850695
6274406935748,901,518020,861140,application,29.204.26.202,https://ford.net/,2024-01-01 01:52:23.689137
7721771070782,302,816369,968790,application,213.153.47.165,http://johnson-miller.com/,2024-01-01 01:46:45.723029
5277807533407,367,446973,340094,audio,221.155.61.1,http://www.camacho.com/,2024-01-01 01:55:28.697270
5209179194135,184,439151,633231,audio,180.185.197.220,https://www.phillips-morrison.com/,2024-01-01 01:40:40.600568
5469999756204,62,897018,139377,image,136.215.88.203,https://www.foster.org/,2024-01-01 01:52:16.349700
7602720968550,1579,668978,168005,image,106.68.175.58,http://smith.com/,2024-01-01 01:52:09.609472
7797372718370,748,166837,291246,image,194.54.92.187,http://ballard-orr.info/,2024-01-01 01:46:22.753653
6481713859859,679,185796,120789,application,49.203.2.152,http://www.moore-diaz.com/,2024-01-01 01:44:55.179248
9223766430983,310,543515,120479,image,67.194.220.94,http://www.spencer.org/,2024-01-01 01:48:21.848985
0771051415123,1915,608588,266988,video,140.78.165.32,http://spence.com/,2024-01-01 01:40:46.597832
5075692393876,350,674424,252186,text,176.221.85.146,http://www.phillips.com/,2024-01-01 01:51:18.267812
7544047178701,495,702199,586930,application,15.52.142.222,https://mcdaniel-benson.com/,2024-01-01 01:47:34.975464
0462630490511,1629,879683,223282,image,223.63.175.117,https://johnson-munoz.com/,2024-01-01 01:55:19.845098
6137826866372,815,665485,329933,text,208.249.240.223,http://www.marks.biz/,2024-01-01 01:46:42.871656
4166283059227,1355,183516,121974,text,183.21.95.198,https://peters.org/,2024-01-01 01:46:22.304403
6969235608559,1281,334480,115263,image,128.249.161.140,https://fletcher-erickson.info/,2024-01-01 01:46:22.828160
2119630098050,131,205588,289674,audio,95.140.51.196,http://www.lopez.info/,2024-01-01 01:43:24.134386
0619806796039,195,495644,885896,application,219.71.192.134,https://www.adams.net/,2024-01-01 01:57:02.067027
4079064369501,1343,504802,879613,audio,86.70.29.85,https://www.jones-neal.org/,2024-01-01 01:45:47.767403
9648449603253,1731,595244,590199,image,209.173.139.0,https://www.fox.com/,2024-01-01 01:54:22.488979
3673823036814,1105,177934,951771,video,179.67.26.71,https://chambers.com/,2024-01-01 01:41:29.960989
0130254857784,656,370324,123085,video,209.243.237.247,https://cook.info/,2024-01-01 01:55:38.947445
2540186523604,1478,636500,847728,video,223.245.92.14,https://davis.com/,2024-01-01 01:50:18.057624
8623517244878,341,406092,925762,image,214.58.23.182,http://www.hayes.net/,2024-01-01 01:47:20.837404
8652633161061,1269,111198,176529,text,173.70.109.106,https://www.brown-beck.com/,2024-01-01 01:56:48.472557
7480164440767,1521,905457,804974,application,187.40.194.84,https://silva.com/,2024-01-01 01:47:46.166925
2501912291634,299,867555,540929,video,123.233.189.197,https://garcia.com/,2024-01-01 01:51:21.617794
1735904216318,1233,733618,614103,image,185.245.238.158,http://green.com/,2024-01-01 01:52:38.911941
6953836349721,338,218466,384360,application,118.51.51.151,https://www.weaver-gardner.com/,2024-01-01 01:44:24.216212
6655911775902,904,482525,290457,image,126.140.165.93,http://long.biz/,2024-01-01 01:47:00.909306
4407551048506,1502,261027,145277,video,212.49.42.216,https://gonzalez.com/,2024-01-01 01:47:57.675607
5356900788510,284,213434,743570,audio,202.213.56.255,http://www.murphy.com/,2024-01-01 01:51:00.521189
4000934377664,122,483106,876151,image,220.65.158.94,https://mitchell.com/,2024-01-01 01:45:06.549675
3778271207174,1451,804714,673769,application,111.34.203.12,http://www.hall.com/,2024-01-01 01:45:06.998626
7010186183372,1027,302730,490193,video,128.68.203.222,https://www.ferguson.com/,2024-01-01 01:54:49.485501
4533685655270,1510,357490,836838,image,197.236.239.233,http://www.bradley.net/,2024-01-01 01:54:34.197379
4034355607922,797,323535,290196,video,188.157.233.69,http://waters.biz/,2024-01-01 01:44:17.431635
7221515715689,1127,744444,533837,image,75.248.105.249,http://huffman.com/,2024-01-01 01:51:17.569156
9006596987913,478,416662,593859,video,221.78.89.149,https://lane-navarro.org/,2024-01-01 01:42:40.636299
2592375936120,1270,568180,198307,text,218.126.106.14,https://www.hall.com/,2024-01-01 01:40:48.871768
6533322854975,1622,461875,957973,audio,200.10.221.63,https://www.lee.biz/,2024-01-01 01:49:23.302588
6694325267832,496,428650,834288,video,153.70.143.200,https://calderon-fernandez.com/,2024-01-01 01:44:45.878612
4492861450253,1199,445637,777051,audio,209.198.108.40,http://www.taylor-lynch.com/,2024-01-01 01:49:48.328384
1725097410231,101,725219,141774,audio,189.125.226.123,https://www.barron-martinez.com/,2024-01-01 01:52:01.969980
6124113439533,863,698545,946615,text,207.139.114.168,http://www.crawford.org/,2024-01-01 01:45:33.600297
5190601231325,262,592259,559509,text,222.104.216.126,https://lee.com/,2024-01-01 01:40:30.403051
7940302655177,1003,883608,784699,application,5.66.119.2,http://www.wilkinson.com/,2024-01-01 01:48:17.206431
9535861766804,1431,718816,491498,image,89.135.102.7,https://hughes.com/,2024-01-01 01:54:51.709709
4654691577674,1053,135564,217112,image,199.92.15.161,https://kemp.com/,2024-01-01 01:42:38.769220
9670049170148,547,735933,554577,audio,214.196.172.161,https://gray.com/,2024-01-01 01:41:55.920290
9693557128177,1517,345684,176385,audio,108.224.249.221,https://www.mayer.com/,2024-01-01 01:43:26.829511
8186315388309,1853,753485,756731,application,192.239.172.167,http://howell.info/,2024-01-01 01:48:34.718087
0993423628460,778,790538,133691,image,197.210.244.223,https://jackson.biz/,2024-01-01 01:45:31.671259
6476146711480,941,735747,507563,video,78.155.203.174,https://moss.info/,2024-01-01 01:44:43.872117
1561864974327,1046,484552,533180,audio,186.237.157.135,https://french-robertson.com/,2024-01-01 01:52:51.121533
8086004802021,625,206103,274167,text,87.71.180.105,https://hall.biz/,2024-01-01 01:47:14.978847
7963119438447,979,107051,387559,audio,65.122.97.251,https://www.thompson.com/,2024-01-01 01:41:47.545582
0421812016951,1708,317623,257256,application,217.136.240.211,http://www.perez.com/,2024-01-01 01:53:16.330399
2709048172659,713,983724,607211,audio,100.18.44.123,http://www.alvarado-dillon.com/,2024-01-01 01:56:18.008575
6739710792475,1508,158051,936107,image,30.37.49.224,https://www.mcdowell.info/,2024-01-01 01:47:58.403881
4146691890119,1208,950303,588847,text,222.167.186.41,https://small.com/,2024-01-01 01:50:44.410735
7836731857640,1121,925028,143803,application,210.213.117.75,https://flores.biz/,2024-01-01 01:45:47.375290
9000848532709,1499,249587,563935,video,128.102.196.15,https://house.com/,2024-01-01 01:55:26.224259
