msisdn,tower_id,call_type,dest_nr,call_duration_sec,start_time
4943231362317,1433,video,9978287328118,1190,2024-01-01 01:25:19.452240
5424922251009,1014,video,7277902667575,648,2024-01-01 01:30:59.515130
2065718052453,504,voice,6722289616583,1018,2024-01-01 01:26:20.334760
2753562238891,1518,video,9978447312816,254,2024-01-01 01:34:57.380784
8606016312668,1849,video,7462924340950,1307,2024-01-01 01:24:39.956843
6002220983085,549,video,5400276524164,1715,2024-01-01 01:31:46.213792
9010025313605,209,voice,9258525234617,120,2024-01-01 01:37:53.681604
1516079330315,902,voice,7902731240146,1593,2024-01-01 01:30:59.790521
9655752289589,1824,video,9622041723722,1772,2024-01-01 01:27:15.865663
6998760140660,324,voice,8888727620673,519,2024-01-01 01:39:53.949353
7899987271834,1960,voice,4550691714060,1235,2024-01-01 01:23:59.209494
9369748150848,1724,video,1799374444034,205,2024-01-01 01:32:13.825164
8644179237351,117,video,8811181070152,768,2024-01-01 01:38:40.718752
8854744809967,1068,video,0285771547328,560,2024-01-01 01:39:25.848758
1523223425944,805,voice,6623624880399,583,2024-01-01 01:37:57.691931
6609566462658,1669,voice,7417212200447,47,2024-01-01 01:40:10.078504
1539758495029,1655,video,0397853266593,455,2024-01-01 01:31:01.465566
6122393178655,1300,video,0272557301151,1180,2024-01-01 01:24:43.942048
2891914119389,1355,video,7859100851402,149,2024-01-01 01:34:36.482078
1984548731358,603,voice,6290420343415,796,2024-01-01 01:33:29.523586
4861785748055,1280,video,6354516504140,255,2024-01-01 01:38:21.713068
4568508169711,1369,video,6484680586828,1024,2024-01-01 01:30:53.266057
8643443232455,1644,voice,1893603396619,556,2024-01-01 01:39:43.558298
3730405664109,253,voice,9558808455395,1184,2024-01-01 01:27:50.680272
8253825590591,1670,voice,6245642531566,1742,2024-01-01 01:27:42.882881
2969303047947,357,video,6537616546125,1209,2024-01-01 01:33:51.762184
5256275303944,1413,voice,2989607940329,1008,2024-01-01 01:38:25.395214
9819689051325,953,video,2903979960510,1347,2024-01-01 01:33:00.861069
0345492713844,889,voice,0696066265235,557,2024-01-01 01:27:35.186110
4505762759010,1799,video,0397109114278,1418,2024-01-01 01:30:37.263059
3985213987808,1516,voice,8616381196857,1635,2024-01-01 01:33:53.446207
1259724185679,1847,voice,3892869024226,1526,2024-01-01 01:38:31.033380
0781966113055,916,video,4519585072049,1146,2024-01-01 01:38:31.341604
3330721147093,1058,voice,5151914994501,1570,2024-01-01 01:30:51.142700
0613601471989,640,video,7546687636020,803,2024-01-01 01:34:41.303163
6009940332963,765,voice,5503991242404,176,2024-01-01 01:37:39.558245
0395395071475,1604,voice,5033946619109,684,2024-01-01 01:32:56.384556
8419934403622,1395,voice,1199703676909,218,2024-01-01 01:36:39.433505
8786979522074,631,video,5620609133610,523,2024-01-01 01:28:43.858321
1424340113744,1842,voice,4882860984780,593,2024-01-01 01:26:42.455622
8608129759469,1146,voice,4056140053315,1265,2024-01-01 01:39:40.857567
3338183280653,1882,video,0681162565267,1121,2024-01-01 01:32:39.342387
2282615447773,313,video,3363621413324,480,2024-01-01 01:30:58.321731
6034251348533,1884,video,6138196744619,230,2024-01-01 01:37:34.669158
8299900046344,110,video,9526861018330,357,2024-01-01 01:29:45.276845
0825098321094,1877,voice,7211288387569,1551,2024-01-01 01:34:59.837600
4665540879624,501,video,3918842208845,995,2024-01-01 01:24:57.651609
2466571636372,1487,voice,0589995181387,878,2024-01-01 01:28:15.759265
