msisdn,tower_id,call_type,dest_nr,call_duration_sec,start_time
7643008066273,80,video,2179333285791,434,2024-01-01 10:09:42.807464
9855447305237,1416,video,9828356160097,778,2024-01-01 10:04:07.344993
6935535297776,754,voice,1436150716923,1501,2024-01-01 10:05:46.916465
5081655593237,1049,voice,3349480861631,1132,2024-01-01 10:12:12.201727
0700237353489,1200,voice,4362905423861,233,2024-01-01 10:13:08.822697
5163085362899,793,video,9061410509662,600,2024-01-01 10:15:02.324434
4368078007056,138,voice,6809434612258,1419,2024-01-01 10:04:35.333130
6063516039862,156,video,1338873643317,1104,2024-01-01 10:11:08.527584
5283460910199,572,video,0045915753799,465,2024-01-01 10:07:12.650529
6753859890426,1458,voice,8518483603908,1789,2024-01-01 10:13:57.911082
0566428277619,1253,video,4356078604833,1155,2024-01-01 10:15:10.221010
0689575277936,1880,video,4752314667710,215,2024-01-01 10:06:05.726126
7080125268772,1511,video,2189483991033,1129,2024-01-01 10:09:45.422017
6349822318392,1540,video,2079789706214,1,2024-01-01 10:16:05.753757
7784725252236,187,video,5684032072019,892,2024-01-01 10:09:30.858772
6795746923235,842,voice,3114312225054,1359,2024-01-01 10:12:48.581352
1796146003894,325,voice,8952081065723,876,2024-01-01 10:07:35.456607
2468717781220,684,voice,0720125700870,102,2024-01-01 10:14:12.062991
6649923817585,461,video,6592845206438,1687,2024-01-01 10:10:29.148615
6912549341018,1294,video,5907525544077,1662,2024-01-01 10:12:02.612317
4874207572503,662,video,6193698951417,458,2024-01-01 10:12:05.432549
0399512055751,1782,video,7021828641338,307,2024-01-01 10:10:49.048940
3095157930356,1674,voice,3320377929885,1497,2024-01-01 10:05:20.493596
8075608533671,873,voice,7946010863998,861,2024-01-01 10:14:48.888934
1872902023833,889,video,6264394228563,1366,2024-01-01 10:05:01.110022
2804918584599,381,video,8389057828203,150,2024-01-01 10:12:54.859777
7843788315568,1377,video,9175755121194,157,2024-01-01 10:15:35.668864
1882628817450,1559,voice,6295670069369,527,2024-01-01 10:19:22.653114
5318443977959,805,video,1503425112482,536,2024-01-01 10:04:50.328763
1565612567208,569,video,5683166641028,763,2024-01-01 10:12:36.181052
2946387372506,803,video,5181987541114,653,2024-01-01 10:15:37.009658
1259528203104,1768,voice,1582086150920,429,2024-01-01 10:04:13.799534
1971162919638,1429,video,7657687228236,236,2024-01-01 10:13:01.188893
1962592465330,37,video,2696185577147,290,2024-01-01 10:13:09.758590
3816198247717,1022,video,8779266500828,1784,2024-01-01 10:10:54.840757
0710672535828,1871,voice,8568438897717,1066,2024-01-01 10:04:47.398912
5813738278455,334,voice,2983873801307,1658,2024-01-01 10:03:10.196015
0730241960811,1089,video,4245748181667,33,2024-01-01 10:08:24.286688
8799674062132,215,video,1210573439318,1173,2024-01-01 10:07:59.664799
2797023011242,45,voice,0341431372193,691,2024-01-01 10:08:23.134195
1333548013055,1254,video,9276737884080,637,2024-01-01 10:05:13.912118
4257808953934,741,video,5416059219752,251,2024-01-01 10:10:56.552161
2490895124804,457,voice,1590009984209,353,2024-01-01 10:15:37.281768
1683742264129,1607,voice,4974001488243,1022,2024-01-01 10:16:20.503953
7880363992260,1212,voice,4794950193618,1681,2024-01-01 10:07:24.352582
4693956364975,1908,voice,6625182812316,243,2024-01-01 10:15:22.304451
3865551002294,1175,video,2394427225031,689,2024-01-01 10:06:09.770100
5851085156703,1707,video,1406278891420,1073,2024-01-01 10:04:11.363195
9980359507145,1492,voice,9948900401597,323,2024-01-01 10:04:00.866387
7199135816288,1692,voice,0160636931691,1415,2024-01-01 10:06:49.853560
8370016194812,538,voice,6986241937921,1081,2024-01-01 10:04:20.558156
1371367023453,1329,video,6077235634478,656,2024-01-01 10:15:26.482884
7618404451999,1734,video,2753241635988,221,2024-01-01 10:15:38.456437
9292577927096,1963,voice,6184340325583,912,2024-01-01 10:18:41.437692
2444028066627,1516,voice,8323378985137,725,2024-01-01 10:17:23.795408
8938461725574,661,voice,9896530234516,1655,2024-01-01 10:04:19.229716
5959691195623,343,voice,6832886440843,1529,2024-01-01 10:16:46.944934
2169287346279,168,voice,1969150303569,417,2024-01-01 10:13:37.472995
1856228928792,942,video,1691996588034,114,2024-01-01 10:16:49.919012
1994538630005,866,voice,8090159786720,561,2024-01-01 10:18:04.415876
7751581458461,1366,video,9011850670886,671,2024-01-01 10:04:49.106899
5682039456330,757,voice,8511677132711,1449,2024-01-01 10:05:41.794289
9989586983546,713,voice,9893309556682,948,2024-01-01 10:12:52.471714
4612114666860,1092,video,1298312630565,1032,2024-01-01 10:04:40.597313
4153176751465,1693,video,4162500427433,1201,2024-01-01 10:14:27.257270
0912453610785,1374,voice,0043269323982,647,2024-01-01 10:13:24.711365
3926016305778,1167,voice,4063230874252,1228,2024-01-01 10:14:18.006446
2774121566640,1449,voice,0327664007002,156,2024-01-01 10:08:30.657088
